accession_num,artist,title_date,medium,medium category,dimensions,type,exam_date,overall_condition,remarks,priority,overall_analysis,rec_treat,treatment type
32-74/28,"Charles Turner, William Faithorne","Oliver Cromwell, 1806-1816",Mezzotint,Ink print,"Overall: 15 7/16 x 10 3/8 in. (39.1668 x 26.3398 cm)
Mat: 21 1/4 x 16 in. (53.975 x 40.64 cm)",Examination,10/26/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag green glassine  Object: sl-mod gen discoloration severe foxing mod soil, accretions, extremely heavy in margins  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",3-Treatment as necessary,,wash,wash
32-74/29,"Norman Hirst, Sir Joshua Reynolds","Mrs. Payne Gallwey and Child, 1914",Mezzotint,Ink print,Image: 14 7/16 x 11 1/2 in. (36.6268 x 29.21 cm),Examination,10/12/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply good tissue  Object: sl gen discoloration sl-mod light burn mod accretions sl-mod soiling  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash,wash
32-74/30,"Thomas Hamilton Crawford, Sir Joshua Reynolds","Lord Heathfield, 1918",Mezzotint,Ink print,Image: 15 3/4 x 12 1/8 in. (40.005 x 30.8102 cm),Examination,9/29/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration sl-mod soiling L, R & B edges folded to back - some breakage  Recommended Treatment: clean open margins re-enforce folds as needed  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,mend/insert,mend/insert
32-74/31,"Richard Earlom, George Romney","Alope, 1787",Mezzotint,Ink print,Image: 11 7/8 x 15 3/8 in. (30.1498 x 39.0398 cm),Examination,10/26/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply rag acidic glassine  Object: sl gen discoloration sl light burn mod foxing mod soiling accretions small tears B edge center T skinned  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,3-Treatment as necessary,,wash,wash
32-74/32,Anthony van Dyck,"Pieter Breughel the Younger, ca. 1626-1636",Etching,Ink print,"Image: 9 9/16 x 6 1/8 in. (24.2824 x 15.5702 cm)
Mat: 21 1/4 x 16 in. (53.975 x 40.64 cm)",Examination,10/12/1987,(not entered),Condition:  Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration sl gen soiling mod-severe accretions sl foxing  Recommended Treatment: clean remat  Care and Maintenance: na  Curatorial Priority: na,5-No treatment needed,,re-mat,enclosure upgrade
32-74/32,Anthony van Dyck,"Pieter Breughel the Younger, ca. 1626-1636",Etching,Ink print,"Image: 9 9/16 x 6 1/8 in. (24.2824 x 15.5702 cm)
Mat: 21 1/4 x 16 in. (53.975 x 40.64 cm)",Examination,8/21/1991,Current Condition,,,,none,none
32-74/33,Roeland Roghman,"Woods with Peasants, Hunters, and Dog, n.d.",Etching,Ink print,Overall: 8 13/16 x 10 5/16 in. (22.4028 x 26.1874 cm),Examination,9/14/1987,(not entered),Condition:  Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl discoloration pale broad stains sl soiling sl-mod cockling  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash,wash
32-74/34,Johan Barthold Jongkind,"Jetée en bois dans le port de Honfleur, 1865",Etching,Ink print,Overall: 8 3/4 x 12 1/8 in. (22.225 x 30.8102 cm),Examination,9/15/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply old acelate cover  Object: sl, mottled, discoloration sl light burn sl soiling  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,wash,wash
32-74/35,Jozef Israëls,"The Fisherman, 1883",Etching,Ink print,Sheet: 19 3/4 x 12 1/2 inches (50.17 x 31.75 cm),Examination,9/15/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply pieced (good) glassine  Object: mod gen discoloration mod light burh sl soiling sl abrasion  Recommended Treatment: wash  Care and Maintenance: na  Curatorial Priority: na,5-No treatment needed,,wash,wash
32-74/35,Jozef Israëls,"The Fisherman, 1883",Etching,Ink print,Sheet: 19 3/4 x 12 1/2 inches (50.17 x 31.75 cm),Examination,4/4/2019,Fair,,,,none,none
32-74/36,Charles Storm van's Gravesande,"Amsterdam Pier, n.d.",Etching,Ink print,Overall: 10 5/8 x 15 1/2 in. (27.0002 x 39.37 cm),Examination,10/2/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: mod edge soiling mod discolored folds B & R edge L edge wt off, retained received minor treat. 1986  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,wash,wash
32-74/37,Giovanni Battista Tiepolo,"The Discovery of the Tomb of Punchinello, n.d.",Etching,Ink print,Plate: 9 1/8 x 7 1/8 in. (23.1775 x 18.0975 cm),Examination,9/16/1987,(not entered),Condition:  Frame: na  Mat/Mount: slick 2 ply acidic tissue cover  Object: sl mod gen discoloration margins dark from mat burn sl foxing mod soiling  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash,wash
32-74/38,Francisco José de Goya y Lucientes,"They Fly, No. 61, n.d.",Aquatint,Ink print,Overall: 5 1/16 x 7 3/8 in. (12.8588 x 18.7325 cm),Examination,9/11/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply lignified mats good glassine  Object: mod gen discoloration mod-severe soiling L edge has numerous tears from disbinding  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash,wash
32-74/39,"Mariano Jose Maria Fortuny y Carbo, Bernardo","Garde de la Casbah à Tetuan, n.d.",Etching,Ink print,Plate: 7 1/4 x 5 3/4 in. (18.415 x 14.605 cm),Examination,9/29/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl gen discoloration, worst at T & R sl-mod soiling accretions mod plate distortion  Recommended Treatment: clean  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,clean,surface clean
32-74/40,Charles Emile Jacque,"Landscape with a Cow, 1846-1848",Etching,Ink print,Image: 3 x 4 3/8 in. (7.62 x 11.1125 cm),Examination,11/2/1987,(not entered),Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration mod soil  Recommended Treatment: clean  Care and Maintenance: na  Curatorial Priority: na,5-No treatment needed,,clean,surface clean
32-74/41,Charles Emile Jacque,"The Hamlet, 1866",Etching,Ink print,Image: 8 1/2 x 13 1/2 in. (21.59 x 34.29 cm),Examination,9/29/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl gen discoloration numerous handling stains, margins heavy soiling T corners darker  Recommended Treatment: clean  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,clean,surface clean
32-74/42,Jean-François Millet,"Peasant with a Wheelbarrow, 1855-1856",Etching,Ink print,"Image: 6 7/16 x 5 1/4 inches (16.35 x 13.34 cm)
Sheet: 8 1/2 x 6 1/2 inches (21.59 x 16.51 cm)",Examination,11/2/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration, edges darker mod soiling, LL black with soot mod plate distortion  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,wash,wash
32-74/42,Jean-François Millet,"Peasant with a Wheelbarrow, 1855-1856",Etching,Ink print,"Image: 6 7/16 x 5 1/4 inches (16.35 x 13.34 cm)
Sheet: 8 1/2 x 6 1/2 inches (21.59 x 16.51 cm)",Examination,4/4/2019,Stable,,,,none,none
32-74/43,Charles Francois Daubigny,"Le Lai des Deux Amans, 1842",Etching,Ink print,Image: 6 3/16 x 5 1/16 in. (15.7163 x 12.8588 cm),Examination,10/28/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration severe fine, pale foxing throughout mod soil sm water stains L  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,wash,wash
32-74/44,Charles Francois Daubigny,"Les Charrettes de Roulage, 1850",Etching,Ink print,Image: 4 5/8 x 6 15/16 in. (11.7475 x 17.6212 cm),Examination,10/29/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl gen discoloration severe foxing L, mount sl soiling; accretions adhesives B margin, T corners  Recommended Treatment: remove adhesives pick off accretions  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,reduce adhesive wash,wash
32-74/45,Adolphe Appian,"A Pond, 1867",Etching,Ink print,Image: 12 1/2 x 9 1/8 in. (31.75 x 23.1775 cm),Examination,10/28/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply rag acetate  Object: sl light burn mount sl discoloration mod soil in mount mod cockling T  Recommended Treatment: clean flatten  Care and Maintenance: na  Curatorial Priority: na,5-No treatment needed,,flatten,flatten
32-74/46,Maxime-François-Antoine LaLanne,"Rue des Marmousets, 1863",Etching,Ink print,Image: 10 3/8 x 7 1/16 in. (26.3525 x 17.9388 cm),Examination,11/2/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl gen discoloration mod-severe light burn sl soil, accretions  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,wash,wash
32-74/48,Felix Bracquemond,"Reeds and Teal, n.d.",Etching,Ink print,Image: 13 x 10 in. (33.02 x 25.4 cm),Examination,10/28/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gend discoloration, more at edges few sm random stairns sl soil spots purple in LL mod hinge cockling  Recommended Treatment: clean remove hings flatten  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,remove hinges flatten,attachment removal
32-74/50,Sir Francis Seymour Haden,"Windmill Hill, 1877","Etching, drypoint, engraving, and sulfur tint",Ink print,Plate: 5 7/8 x 8 7/8 in. (14.9098 x 22.5298 cm),Examination,10/12/1987,(not entered),"Condition:  Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration sl light burn lge stain UL, image mod-severe soiling old glue residue/stain reverse  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,wash,wash
32-74/51,Sir Francis Seymour Haden,"A Lancashire River, 1881",Etching,Ink print,Plate: 11 x 16 in. (27.94 x 40.64 cm),Examination,10/12/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply rag green glassine  Object: sl-mod gen discolor mod window burn mod-severe light burn sl-mod soiling  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash,wash
32-74/52,James Abbott McNeill Whistler,"The Rag Gatherers, 1858",Etching,Ink print,Overall: 3 1/2 x 6 in. (8.89 x 15.24 cm),Examination,11/9/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl gen discoloration sl-mod soiling sl plate distortion  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,5-No treatment needed,,wash,wash
32-74/53,James Abbott McNeill Whistler,"Annie Seated, 1858",Etching,Ink print,Overall: 5 1/8 x 3 3/4 in. (13.0302 x 9.525 cm),Examination,11/6/1987,(not entered),Condition:  Frame: na  Mat/Mount: 4 ply rag good tissue  Object: sl discoloration severe crease and distortion LR UR dog earred  Recommended Treatment: wash  flatten  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash flatten,wash
32-74/54,James Abbott McNeill Whistler,"Billingsgate, 1859",Etching,Ink print,Overall: 5 7/8 x 8 7/8 in. (14.9098 x 22.5298 cm),Examination,11/6/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply rag good glassine  Object: sl discoloration, worse at T few accretions generally excellent  Recommended Treatment: none  Care and Maintenance: na  Curatorial Priority: na",,,none,none
32-74/55,James Abbott McNeill Whistler,"Drouet, 1859",Etching and drypoint,Ink print,Overall: 8 15/16 x 6 in. (22.6822 x 15.24 cm),Examination,11/9/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 ply rag acid glassine  Object: sl gen discoloration mod soil few spotty stains  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash,wash
32-74/55,James Abbott McNeill Whistler,"Drouet, 1859",Etching and drypoint,Ink print,Overall: 8 15/16 x 6 in. (22.6822 x 15.24 cm),Examination,8/10/2017,Excellent,T-hinged to display mat with Japanese paper hinges at top  Primary support unevenly trimmed  Overall: light soil Bottom edge: very slight yellowing Middle left edge: minor foxing spot wity a grey cener in margin,5-No treatment needed,,none,none
32-74/58,Alexandre Calame,"Environs de Interlacken, n.d.",Lithograph,Ink print,Image: 7 x 10 in. (17.78 x 25.4 cm),Examination,10/28/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloration sl mat bur margins mod accretions, sl soil glue deposit, above imate at R  Recommended Treatment: clear glue remove accretions  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,wash,wash
32-74/59,"Paul Gavarni, Hippolyte Guillaume Sulpice Chevalier","The Boudoir Key Opens Many Secrets, 1857-1858",Lithograph,Ink print,Image: 7 15/16 x 6 3/8 in. (20.1613 x 16.1925 cm),Examination,10/28/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl-mod discoloration matburn, margins severe foxing sl-severe sopiling with heavy bands L & R  Recommended Treatment: clean wash (bleach) rejoin if necessary  Care and Maintenance: na  Curatorial Priority: na",3-Treatment as necessary,,wash bleach mend/insert,wash bleach
32-74/60,James Duffield Harding,"Environs de Thiers, Auvergne, n.d.",Lithograph,Ink print,Sheet: 12 3/4 x 10 15/16 in. (32.385 x 27.7622 cm),Examination,10/12/1987,(not entered),Condition:  Frame: na  Mat/Mount: 2 and 4 ply lignified acid glassone  Object: sl-mod gen discoloration sl light burn severe foxing mod discoloration L edge - creases and holes from binding  Recommended Treatment: clean wash bleach  Care and Maintenance: na  Curatorial Priority: na,4-Periodic monitoring needed,,wash bleach,wash bleach
32-74/61,Eugene Isabey,"Ruines du Chateau de Bouzols, Auvergne, 1831",Lithograph,Ink print,Image: 9 1/4 x 10 13/16 in. (23.495 x 27.4638 cm),Examination,10/27/1987,(not entered),"Condition:  Frame: na  Mat/Mount: na  Object: sl gen discoloration; B of mount severe mod large foxing, mostly in mount sl-mod soil B edge mount torn, water stained  Recommended Treatment: clean wash mend  Care and Maintenance: na  Curatorial Priority: na",3-Treatment as necessary,,wash mend/insert,wash & mend/insert
32-74/62,Auguste Raffet,"Attention! The Emperor has his eye upon us, 1832",Lithograph,Ink print,Image: 6 13/16 x 12 1/4 in. (17.3038 x 31.115 cm),Examination,11/2/1987,(not entered),Condition:  Frame: na  Mat/Mount: slick 2 ply green glassine  Object: mod gen discoloration severe foxing mod soiling old creases T  Recommended Treatment: clean wash bleach A good to test bleaching  Care and Maintenance: na  Curatorial Priority: na,3-Treatment as necessary,,wash bleach,wash bleach
32-90,Richard Montague Stack Pearsall,"Casting of the Bells, 1931",Engraving,Ink print,Overall: 11 1/2 x 9 3/8 in. (29.21 x 23.7998 cm),Examination,9/25/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 4 ply rag good glassine  Object: sl gen discoloratin mod light burn sl soil, acdretions darkening at T corners  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,wash,wash
32-92/1,Hendrick Goltzius,"Pietà or Lamentation of the Virgin, 1596",Engraving,Ink print,Overall: 7 3/16 x 4 15/16 in. (18.2626 x 12.5222 cm),Examination,9/14/1987,(not entered),"Condition:  Frame: na  Mat/Mount: 2 ply, slick board good glassine  Object: very sl discoloration small pale stains UL mod cockling  Recommended Treatment: flatten  Care and Maintenance: na  Curatorial Priority: na",5-No treatment needed,,flatten,flatten
32-92/2,Albrecht Dürer,"Hercules at the Crossroads, ca. 1498",Engraving,Ink print,Plate: 12 11/16 x 8 13/16 in. (32.2263 x 22.3838 cm),Examination,10/15/1987,(not entered),"Condition:  Frame: na  Mat/Mount: slick 2 ply  good glassine  Object: sl0mod gen discoloration mod foxing old tears, mended mod accretions  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,wash,wash
32-92/2,Albrecht Dürer,"Hercules at the Crossroads, ca. 1498",Engraving,Ink print,Plate: 12 11/16 x 8 13/16 in. (32.2263 x 22.3838 cm),Examination,1/17/2020,Other Condition,,,,none,none
32-92/3,Albrecht Dürer,"The Standard Bearer, n.d.",Engraving,Ink print,Plate: 4 1/2 x 2 13/16 in. (11.43 x 7.1438 cm),Examination,10/15/1987,(not entered),"Condition:  Frame: na  Mat/Mount: slick 2 ply if-fy glassine  Object: sl-mod discoloratin borwn stain LR mod accretions sl-mod cockling tiny loss, B edge at R  Recommended Treatment: clean wash  Care and Maintenance: na  Curatorial Priority: na",4-Periodic monitoring needed,,wash,wash
32-93,Jean Louis Meissonier,"Portrait of a Man in Uniform, 1866",Watercolor and opaque watercolor,"Drawing, water sensitive",Overall: 6 1/4 x 3 5/8 in. (15.875 x 9.2075 cm),Examination,3/1/1987,(not entered),"Condition:  Frame:   Mat/Mount:   Object:   Recommended Treatment: lead white locally bleached with hydrogen peroxice 4-87 cy  Care and Maintenance: rematted, 4 ply rag  4-87  RAD  Curatorial Priority:",,,treated,treated
32-106/1,Sawa Sekkyo,"Landscape in the Rain, 1800-1825",Color woodblock,Ink print,Overall: 9 1/4 x 6 3/4 in. (23.495 x 17.145 cm),Examination,2/14/1990,(not entered),Condition:  Frame:   Mat/Mount: in mylar  Object: colors fine gen discolor sl-mod and soil mod lge foxing stains corners stained (adhesive?) hole in C of sky  Recommended Treatment: clean wash reduce stains insert hole mat  Care and Maintenance:   Curatorial Priority,2-Treatment recommended,,wash bleach mend/insert,wash bleach
32-106/2,Ando Hiroshige,Hanging Branch with Fruit,Color woodblock,Ink print,Overall: 13 5/8 x 3 5/8 in. (34.6075 x 9.2075 cm),Examination,2/14/1990,(not entered),Condition:  Frame:   Mat/Mount: in mylar  Object: colors fine discolor mod numerous severe stains (foxing?) overall backed with poor paper - some portions removed T edge stained  Recommended Treatment: clean remove backing wash reduce stains mat  Care and Maintenance:   Curatorial Priority,3-Treatment as necessary,,remove backing,backing removal
32-106/3,Sawa Sekkyo,"Two Birds and a Willow Branch, 1800-1825",Color woodblock,Ink print,Overall: 13 3/8 x 8 5/8 in. (33.9725 x 21.9075 cm),Examination,2/14/1990,(not entered),Condition:  Frame:   Mat/Mount: in mylar folder  Object: mod discoloration num dk foxing stains num old creases with abrasion and soiling remnants of lign board and glue on reverse very thick - backed?  Recommended Treatment: remove board and adhesive wash reduce staining mat  Care and Maintenance:   Curatorial Priority,2-Treatment recommended,,remove backing reduce stain wash,backing removal & wash
32-106/4,Ando Hiroshige,Standing Woman with Fuji Series: Edo meisho gosei,Color woodblock,Ink print,Overall: 14 5/16 x 9 7/8 in. (36.3538 x 25.0825 cm),Examination,2/14/1990,(not entered),"Condition:  Frame:   Mat/Mount: in mylar folder  Object: discolor sl-mod severe dark foxing old tears, holes (lge, UR) and losses overall backed residues lue and lignified board  Recommended Treatment: remove glue and board wash reduce stains if nec mend and insert  mat  Care and Maintenance:   Curatorial Priority",2-Treatment recommended,,wash remove adhesive,wash
32-132,,"Entertainment of a Prince, ca. 1540-1560",Opaque watercolor,"Drawing, water sensitive","Image: 8 5/8 x 4 3/8 in. (21.9075 x 11.1125 cm)
Sheet: 11 1/2 x 6 5/8 in. (29.21 x 16.8275 cm)",Examination,1/17/1983,(not entered),Condition:  Frame:   Mat/Mount: mounted on purple cardboard  Object: repaired margins borders added slight lifting of mend in upper right some flaking in center  Recommended Treatment: minor set down flaking paing readhere mend in upper right  Care and Maintenance:   Curatorial Priority:,2-Treatment recommended,,consolidate flaking,consolidation
32-143/1,,"Falconer Holding a Hawk, Late 17th century",Nishiki-e,Ink print,Overall: 25 x 9 1/2 in. (63.5 x 24.13 cm),Examination,2/6/1990,(not entered),Condition:  Frame:   Mat/Mount:   Object: mod discolor stains T & B along tears and inserts major paint losses along creases - some active delam sl and sporadic inpainting  Recommended Treatment: set down loose paint  Care and Maintenance:   Curatorial Priority:,1-Treatment needed urgently,,consolidate flaking,consolidation
32-143/2,,"Procession of Various Gods (Saitakushin), ca. 1770",Temple Print,Ink print,Overall: 17 1/2 x 10 3/16 in. (44.45 x 25.8762 cm),Examination,7/23/1989,(not entered),"Condition:  Frame:   Mat/Mount: color good  Object: very brown and crisp old breaks in banner, mended seeral newer breaks are unmended dirty. numerous grey - brown stains  Recommended Treatment: clean wash mend  Care and Maintenance:   Curatorial Priority:",2-Treatment recommended,,wash mend/insert,wash & mend/insert
32-143/3,,"Omiye Temple Print, ca. 1820",Temple Print,Ink print,Overall: 18 3/8 x 9 in. (46.6725 x 22.86 cm),Examination,7/23/1989,(not entered),"Condition:  Frame:   Mat/Mount:   Object: mod discoloratio with spotty brown stains num insect losses, crudely patched overal backed - stiff very soiled appearance  Recommended Treatment: cry clean remove backing and mends re-mend / re-insert inpaint  Care and Maintenance:   Curatorial Priority:",4-Periodic monitoring needed,,remove backing mend,backing removal
32-143/4,"Hishikawa Moronobu, Jihei Sugimura","A Pleasure Boat Ho-o Maru, 1615",Etching with hand coloring,Ink print,Overall: 12 3/8 x 17 7/8 in. (31.4325 x 45.4025 cm),Examination,7/24/1989,(not entered),"Condition:  Frame:   Mat/Mount:   Object: severely discolored water stains and mold stains glues in UR num fly specks and heavy soiling many old losses, one large overall backed  Recommended Treatment: clean wash remove backing insert losses  sunbleach  Care and Maintenance:   Curatorial Priority:",3-Treatment as necessary,,remove backing wash insert,backing removal & wash
32-143/5,Torii Kiyonobu,"The Actor Ogino Isaburo in a Dance from ""Tokiwa Genji"" (The Eternal Genji) Dance performed in 1726, 1726",Color woodblock,Ink print,Overall: 13 1/2 x 6 1/4 in. (34.29 x 15.875 cm),Examination,7/24/1989,(not entered),"Condition:  Frame:   Mat/Mount:   Object: sl discoloration mod soiling very heavy at edges some delam on reverse, espec along T  Recommended Treatment: clean wash  Care and Maintenance:   Curatorial Priority:",5-No treatment needed,,wash,wash
32-143/6,Torii Kiyonobu II,"The Actors Otani Oniji I and Segawa in the Play ""Hagoromo Kotobuki Soga"", ca. 1745",Tan-e,Ink print,Overall: 12 1/2 x 5 7/8 in. (31.75 x 14.9225 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: color very good mod edge soiling min discolor phys cond excellent  Recommended Treatment:   Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,,none
32-143/7,Torii Kiyonobu II,The Actors Onoe Kikugoro I and Ichimura Utaemon VIII as Soga Goro and Juro,Tan-e,Ink print,Overall: 11 1/4 x 6 in. (28.575 x 15.24 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: colors faded mottled discoloration; grey soiling bad insert / mend on R near T some areas of thinning  Recommended Treatment: clean replace insert  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,remove patches wash mend/insert,wash & mend/insert
32-143/8,Torii Kiyonobu II,Untitled,Tan-e,Ink print,Overall: 12 1/2 x 5 3/4 in. (31.75 x 14.605 cm),Examination,7/24/1989,(not entered),"Condition:  Frame:   Mat/Mount:   Object: colors good sl-mod discooration ""inverse foxing"" edges soiled  Recommended Treatment:   Care and Maintenance:   Curatorial Priority:",,,,none
32-143/9,Torii Kiyomasu I,"The Actors Ichikawa Danjuro I and Yamanaka Heikuro, 1701",Etching with hand coloring,Ink print,23 1/4 x 12 3/4 inches (59.06 x 32.39 cm),Examination,8/1/1984,(not entered),"Condition:  Frame:   Mat/Mount: new 100% rag  Object: sheet is 2 pieces, seamed losses and possible flaking in gray, thickly applied red is discolored to black/gray appears to discolored lead pigment  Recommended Treatment: further exim poss treat flaking  Care and Maintenance:   Curatorial Priority:",2-Treatment recommended,,consolidate flaking,consolidation
32-143/9,Torii Kiyomasu I,"The Actors Ichikawa Danjuro I and Yamanaka Heikuro, 1701",Etching with hand coloring,Ink print,23 1/4 x 12 3/4 inches (59.06 x 32.39 cm),Examination,2/7/1990,(not entered),Condition:  Frame:   Mat/Mount:   Object: colors ok - flaking in opaque grey currently stable discolor sl - mod soil and handling stains mod-severe along edges mod abrasion and thinning LL corner inserted  Recommended Treatment: clean consolidate abrasion  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,consolidate abrasion,consolidation
32-143/10,Torii Kiyomasu II,"The Actors Ichimura Manzo and Segawa Kikunopjo I in the Play ""Shunsho Kuruwa Soga"", ca. 1743",Tan-e,Ink print,Overall: 12 3/4 x 6 1/8 in. (32.385 x 15.5575 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: colors badly faded old insect holes at T crudely patched overall backed adhesive stains on edges edges very soiled discolor sl  Recommended Treatment: clean remove backing insert losses  Care and Maintenance:   Curatorial Priority:,4-Periodic monitoring needed,,remove backing,backing removal
32-143/11,Torii Kiyomasu I,"The Actor Ichimura Uzaemon VIII Takenojo as a Girl Leading a Bullock, 1678",Urushi-e,Ink print,Overall: 12 7/8 x 6 1/8 in. (32.7025 x 15.5575 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: edges very soiled and dark a few old mends generally very good  Recommended Treatment: clean  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,clean,surface clean
32-143/12,Torii Kiyomasu I,"Sofu: A Young Samurai Walking a Dog under a Blossoming Plum Tree, 1716-1735",Urushi-e,Ink print,Overall: 12 5/16 x 5 3/4 in. (31.2738 x 14.605 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: good colors lacquer crizzled referse: layers of mends and delaminations discolor sl soil and staining mod  surf severely abraded  Recommended Treatment: clean  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,clean,surface clean
32-143/13,Torii Kiyomasu II,"Shoki, The Demon Queller, Standing on a Bridge, 1716-1735",Urushi-e,Ink print,Overall: 11 7/8 x 5 in. (30.1625 x 12.7 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: mod discolor many insect holes fairly well mended some greying of adhesive  Recommended Treatment: remove mends wash re-insert  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,remove mends wash re-insert,wash
32-143/14,Torii Kiyohiro,"The Actor Nakajima Tokujuro as Musume Yokobue in the Play, Musume Dojoji, 1737-1766",Woodblock and colored ink,Ink print,Overall: 17 1/8 x 12 1/4 in. (43.4975 x 31.115 cm),Examination,7/25/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: color excellent discolor sl sl-mod soiling on edges num abrasions delam in spots on reverse  Recommended Treatment:   Care and Maintenance:   Curatorial Priority:,,,,none
32-143/15,Torii Kiyohiro,"Two Girls Playing Ball Under Plum Blossoms, ca. 1744",Beni-e,Ink print,Overall: 14 5/8 x 9 7/8 in. (37.1475 x 25.0825 cm),Examination,7/24/1989,(not entered),Condition:  Frame:   Mat/Mount:   Object: sl-mod fading of pink sl discolor mod soiling lon hor tear well mended but adhesive grey  Recommended Treatment: clean remove mend and wash re-mend  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,remove patches wash mend/insert,wash & mend/insert
